#ID,メイン名,サブ名,説明,スキル効果値表示パラメータ番号,スキル効果値表示機能番号,スキル効果値表示時に掛ける数,スキル効果値表示タイプ,ボイス番号,分類,種類,属性,ジョブタイプ,物理or魔法,コスト,優先度,,スキルランク,ヘイト倍率,ターゲット,発動タイミング,維持ターン,条件,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,属性デッキコンボ,機能,,,,,,,,
#,（P9/E12文字）,（１４文字）,,,,,,,,,,,,,PvE,PvP,,,,,,,,,,,,一枚ごとの倍率上昇,発動条件,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,優先度,機能ID,
60000101,[火]物攻熟练 等级1,fire mastery,火属性的物理伤害提升1%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000101,
60000102,[火]物攻熟练 等级2,fire mastery,火属性的物理伤害提升1.5%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000102,
60000103,[火]物攻熟练 等级3,fire mastery,火属性的物理伤害提升3%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000103,
60000111,[冰]物攻熟练 等级1,ice mastery,冰属性的物理伤害提升1%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000111,
60000112,[冰]物攻熟练 等级2,ice mastery,冰属性的物理伤害提升1.5%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000112,
60000113,[冰]物攻熟练 等级3,ice mastery,冰属性的物理伤害提升3%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000113,
60000121,[风]物攻熟练 等级1,wind mastery,风属性的物理伤害提升1%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000121,
60000122,[风]物攻熟练 等级2,wind mastery,风属性的物理伤害提升1.5%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000122,
60000123,[风]物攻熟练 等级3,wind mastery,风属性的物理伤害提升3%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000123,
60000131,[光]物攻熟练 等级1,light mastery,光属性的物理伤害提升1%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000131,
60000132,[光]物攻熟练 等级2,light mastery,光属性的物理伤害提升1.5%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000132,
60000133,[光]物攻熟练 等级3,light mastery,光属性的物理伤害提升3%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000133,
60000141,[暗]物攻熟练 等级1,dark mastery,暗属性的物理伤害提升1%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000141,
60000142,[暗]物攻熟练 等级2,dark mastery,暗属性的物理伤害提升1.5%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000142,
60000143,[暗]物攻熟练 等级3,dark mastery,暗属性的物理伤害提升3%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000143,
60000151,[火]魔攻熟练 等级1,fire mastery,火属性的魔法伤害提升1%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000151,
60000152,[火]魔攻熟练 等级2,fire mastery,火属性的魔法伤害提升1.5%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000152,
60000153,[火]魔攻熟练 等级3,fire mastery,火属性的魔法伤害提升3%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000153,
60000161,[冰]魔攻熟练 等级1,ice mastery,冰属性的魔法伤害提升1%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000161,
60000162,[冰]魔攻熟练 等级2,ice mastery,冰属性的魔法伤害提升1.5%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000162,
60000163,[冰]魔攻熟练 等级3,ice mastery,冰属性的魔法伤害提升3%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000163,
60000171,[风]魔攻熟练 等级1,wind mastery,风属性的魔法伤害提升1%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000171,
60000172,[风]魔攻熟练 等级2,wind mastery,风属性的魔法伤害提升1.5%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000172,
60000173,[风]魔攻熟练 等级3,wind mastery,风属性的魔法伤害提升3%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000173,
60000181,[光]魔攻熟练 等级1,light mastery,光属性的魔法伤害提升1%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000181,
60000182,[光]魔攻熟练 等级2,light mastery,光属性的魔法伤害提升1.5%,1,1,.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000182,
