#ID,메인명,서브명,설명,스킬 효과값 표시 파라미터 번호,스킬 효과값 표시 기능 번호,스킬 효과값 표시시 걸리는 숫자,스킬 효과값 표시 타입,음성 번호,분류,종류,속성,직업 타입,물리or마법,코스트,우선도,,스킬 랭크,헤이트 배율,타겟,발동 타이밍,지속 턴,조건,파라미터1,파라미터2,파라미터3,파라미터4,파라미터5,속성 덱 콤보,기능,,,,,,,,
#,(P9/E12글자),(14글자),,,,,,,,,,,,,PvE,PvP,,,,,,,,,,,,1장별 배율 상승,발동 조건,파라미터1,파라미터2,파라미터3,파라미터4,파라미터5,우선도,기능ID,
60000101,[불]물공숙달 Lv1,파이어 마스터리,불의 물리 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000101,
60000102,[불]물공숙달 Lv2,파이어 마스터리,불의 물리 대미지를 1.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000102,
60000103,[불]물공숙달 Lv3,파이어 마스터리,불의 물리 대미지를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000103,
60000111,[얼음]물공숙달 Lv1,아이스 마스터리,얼음의 물리 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000111,
60000112,[얼음]물공숙달 Lv2,아이스 마스터리,얼음의 물리 대미지를 1.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000112,
60000113,[얼음]물공숙달 Lv3,아이스 마스터리,얼음의 물리 대미지를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000113,
60000121,[바람]물공숙달 Lv1,윈드 마스터리,바람의 물리 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000121,
60000122,[바람]물공숙달 Lv2,윈드 마스터리,바람의 물리 대미지를 1.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000122,
60000123,[바람]물공숙달 Lv3,윈드 마스터리,바람의 물리 대미지를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000123,
60000131,[빛]물공숙달 Lv1,라이트 마스터리,빛의 물리 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000131,
60000132,[빛]물공숙달 Lv2,라이트 마스터리,빛의 물리 대미지를 1.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000132,
60000133,[빛]물공숙달 Lv3,라이트 마스터리,빛의 물리 대미지를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000133,
60000141,[어둠]물공숙달 Lv1,다크 마스터리,어둠의 물리 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000141,
60000142,[어둠]물공숙달 Lv2,다크 마스터리,어둠의 물리 대미지를 1.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000142,
60000143,[어둠]물공숙달 Lv3,다크 마스터리,어둠의 물리 대미지를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000143,
60000151,[불]마공숙달 Lv1,파이어 마스터리,불의 마법 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000151,
60000152,[불]마공숙달 Lv2,파이어 마스터리,불의 마법 대미지를 1.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000152,
60000153,[불]마공숙달 Lv3,파이어 마스터리,불의 마법 대미지를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000153,
60000161,[얼음]마공숙달 Lv1,아이스 마스터리,얼음의 마법 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000161,
60000162,[얼음]마공숙달 Lv2,아이스 마스터리,얼음의 마법 대미지를 1.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000162,
60000163,[얼음]마공숙달 Lv3,아이스 마스터리,얼음의 마법 대미지를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000163,
60000171,[바람]마공숙달 Lv1,윈드 마스터리,바람의 마법 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000171,
60000172,[바람]마공숙달 Lv2,윈드 마스터리,바람의 마법 대미지를 1.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000172,
60000173,[바람]마공숙달 Lv3,윈드 마스터리,바람의 마법 대미지를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000173,
60000181,[빛]마공숙달 Lv1,라이트 마스터리,빛의 마법 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000181,
60000182,[빛]마공숙달 Lv2,라이트 마스터리,빛의 마법 대미지를 1.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000182,
60000183,[빛]마공숙달 Lv3,라이트 마스터리,빛의 마법 대미지를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000183,
60000191,[어둠]마공숙달 Lv1,다크 마스터리,어둠의 마법 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000191,
60000192,[어둠]마공숙달 Lv2,다크 마스터리,어둠의 마법 대미지를 1.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000192,
60000193,[어둠]마공숙달 Lv3,다크 마스터리,어둠의 마법 대미지를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000193,
60000201,[불]물마숙달 Lv1,파이어 마스터리,불의 대미지를 0.2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000201,
60000202,[불]물마숙달 Lv2,파이어 마스터리,불의 대미지를 0.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000202,
60000203,[불]물마숙달 Lv3,파이어 마스터리,불의 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000203,
60000211,[얼음]물마숙달 Lv1,아이스 마스터리,얼음의 대미지를 0.2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000211,
60000212,[얼음]물마숙달 Lv2,아이스 마스터리,얼음의 대미지를 0.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000212,
60000213,[얼음]물마숙달 Lv3,아이스 마스터리,얼음의 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000213,
60000221,[바람]물마숙달 Lv1,윈드 마스터리,바람의 대미지를 0.2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000221,
60000222,[바람]물마숙달 Lv2,윈드 마스터리,바람의 대미지를 0.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000222,
60000223,[바람]물마숙달 Lv3,윈드 마스터리,바람의 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000223,
60000231,[빛]물마숙달 Lv1,라이트 마스터리,빛의 대미지를 0.2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000231,
60000232,[빛]물마숙달 Lv2,라이트 마스터리,빛의 대미지를 0.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000232,
60000233,[빛]물마숙달 Lv3,라이트 마스터리,빛의 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000233,
60000241,[어둠]물마숙달 Lv1,다크 마스터리,어둠의 대미지를 0.2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000241,
60000242,[어둠]물마숙달 Lv2,다크 마스터리,어둠의 대미지를 0.5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000242,
60000243,[어둠]물마숙달 Lv3,다크 마스터리,어둠의 대미지를 1% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000243,
60000251,[불]물공증강 Lv1,파이어 인핸스,불의 물리 대미지 상승 효과를 2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000251,
60000252,[불]물공증강 Lv2,파이어 인핸스,불의 물리 대미지 상승 효과를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000252,
60000253,[불]물공증강 Lv3,파이어 인핸스,불의 물리 대미지 상승 효과를 5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000253,
60000261,[얼음]물공증강 Lv1,아이스 인핸스,얼음의 물리 대미지 상승 효과를 2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000261,
60000262,[얼음]물공증강 Lv2,아이스 인핸스,얼음의 물리 대미지 상승 효과를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000262,
60000263,[얼음]물공증강 Lv3,아이스 인핸스,얼음의 물리 대미지 상승 효과를 5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000263,
60000271,[바람]물공증강 Lv1,윈드 인핸스,바람의 물리 대미지 상승 효과를 2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000271,
60000272,[바람]물공증강 Lv2,윈드 인핸스,바람의 물리 대미지 상승 효과를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000272,
60000273,[바람]물공증강 Lv3,윈드 인핸스,바람의 물리 대미지 상승 효과를 5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000273,
60000281,[빛]물공증강 Lv1,라이트 인핸스,빛의 물리 대미지 상승 효과를 2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000281,
60000282,[빛]물공증강 Lv2,라이트 인핸스,빛의 물리 대미지 상승 효과를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000282,
60000283,[빛]물공증강 Lv3,라이트 인핸스,빛의 물리 대미지 상승 효과를 5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000283,
60000291,[어둠]물공증강 Lv1,다크 인핸스,어둠의 물리 대미지 상승 효과를 2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000291,
60000292,[어둠]물공증강 Lv2,다크 인핸스,어둠의 물리 대미지 상승 효과를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000292,
60000293,[어둠]물공증강 Lv3,다크 인핸스,어둠의 물리 대미지 상승 효과를 5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000293,
60000301,[불]마공증강 Lv1,파이어 인핸스,불의 마법 대미지 상승 효과를 2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000301,
60000302,[불]마공증강 Lv2,파이어 인핸스,불의 마법 대미지 상승 효과를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000302,
60000303,[불]마공증강 Lv3,파이어 인핸스,불의 마법 대미지 상승 효과를 5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000303,
60000311,[얼음]마공증강 Lv1,아이스 인핸스,얼음의 마법 대미지 상승 효과를 2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000311,
60000312,[얼음]마공증강 Lv2,아이스 인핸스,얼음의 마법 대미지 상승 효과를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000312,
60000313,[얼음]마공증강 Lv3,아이스 인핸스,얼음의 마법 대미지 상승 효과를 5% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000313,
60000321,[바람]마공증강 Lv1,윈드 인핸스,바람의 마법 대미지 상승 효과를 2% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000321,
60000322,[바람]마공증강 Lv2,윈드 인핸스,바람의 마법 대미지 상승 효과를 3% UP,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,20,,,,,,,,60000322,
