#ID,基カードID,同カードID,冠名,メイン名,スタックか？,レアリティ,コスト,パラメータ,,,,,,,,,,,,レベル最大,ホロレベル最大,マスターホロ,忠誠度最大,名声最大,名声ボーナス係数,通常スキルID,アーサーボーナススキルID,ジョブボーナススキルID,スキルLv上限,スキルｶｯﾄｲﾝID,PictID,,,,拡大画像,ホロタイプ,経験値ID,売却値段,合成素材フラグ,売却素材フラグ,フレーバーテキスト,イラストレーター,声優,プロフィール（データ）,,,,,,,,,,,,,,,見た目（通常）,,,,,,,,,,,,,見た目（親密度MAX）,,,,,,,,,,,,,騎士セリフ,,,,,,,,,,,,,,,ボイスID,,,,,,,,,,ダウンロード中表示,
#,,,,,,,,HP,成長限界HP,忠誠度MAXボーナス,ATK,成長限界ATK,忠誠度MAXボーナス,INT,成長限界INT,忠誠度MAXボーナス,MND,成長限界MND,忠誠度MAXボーナス,,,,,,,,,,,,通常,種別,MAX,種別,サイズ,,LVUP,,,,,,,性別,3S/B,3S/W,3S/H,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,ダウンロード中,ガチャと新規入手,進化合成,騎士LvUP,スキルLvUP,騎士LvMAX,探索出発,探索アーサー支援,探索宝箱,探索強敵,忠誠度UP,忠誠度MAX,スキル発動（攻妨特）,スキル発動（回支防）,コンティニュー,挨拶,騎士LvUP,探索出発,未：探索アーサー支援[代：挨拶],探索宝箱,未：探索強敵[代：探索出発],未：忠誠度UP[代：騎士LvUP],スキル発動（物魔妨特）,スキル発動（回支防）,コンティニュー,,
#レアリティ参照用ダミー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,NORMAL,NORMAL,,NORMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,100,10,,10200011,,,1,0,0,,0,,S,,101,0,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,HIGHNORMAL,HIGHNORMAL,,HIGHNORMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,100,30,,10200021,,,1,0,0,,0,,S,,101,0,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,RARE,RARE,,RARE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,100,50,,10200031,,,1,0,0,,0,,S,,101,0,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,SUPERRARE,SUPERRARE,,SUPERRARE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,100,70,,10200041,,,1,0,0,,0,,S,,101,0,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,ULTRARARE,ULTRARARE,,ULTRARARE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,100,90,,10200051,,,1,0,0,,0,,S,,101,0,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,MILLIONRARE,MILLIONRARE,,MILLIONRARE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,100,100,,10200061,,,1,0,0,,0,,S,,101,0,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#お助け騎士（ダミー）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40000001,40000001,40000001,妖精,ファルサリア,,MILLIONRARE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,100,100,,50608000,50608000,,1,2,10115038,0,10115038,1,M,,106,0,,,-,-,-,FEMALE,0,0,0,0,0,RIGHT,,,,,,,,,女性,-,-,-,-,,,,,,,,,女性,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ロンチカード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#160804_ロンチ無課金騎士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
