#ID,HPバー本数,属性倍率,,,,,,,,,バッドステータス耐性割合,,,,,,,,,,,初期覚醒設定,1ターンの行動回数,パッシブスキル,通常攻撃,,,,,,,,スキル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,死亡時発動スキル,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スキル1,,,,,,,,スキル2,,,,,,,,スキル3,,,,,,,,スキル4,,,,,,,,スキル5,,,,,,,,スキル6,,,,,,,,スキル7,,,,,,,,スキル8,,,,,,,,スキル9,,,,,,,,スキル10,,,,,,,,スキル11,,,,,,,,スキル12,,,,,,,,スキル13,,,,,,,,スキル14,,,,,,,,スキル1,,,,,,,,スキル2,,,,,,,,スキル3,,,,,,,,スキル4,,,,,,,,スキル5,,,,,,,,スキル,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,火,氷,風,光,闇,土,雷,水,無,スタン,サインレス,チャーム,毒,炎上,凍結,裂風,アンダーマイン,弱点付与,感電,トラップ,,,スキルID,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,スキルID,AI条件ID,優先度,ターゲットタイプ,消費行動回数,最大発動回数,発動率,発動失敗時カウント増加フラグ,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000101,1,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,1,,40000003,10000001,9,RANDOM,1,99999,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000102,1,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,1,,40000003,10000001,9,RANDOM,1,99999,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000103,1,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,1,,40000008,10000001,9,RANDOM,1,99999,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000104,1,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,1,,40000003,10000001,9,RANDOM,1,99999,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000201,1,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,1,,40000002,10000001,9,RANDOM,1,99999,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000202,1,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,1,,40000002,10000001,9,RANDOM,1,99999,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000203,1,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,1,,40000007,10000001,9,RANDOM,1,99999,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000204,2,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,1,,40000002,10000001,9,RANDOM,1,99999,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41000001,10000009,1,RANDOM,1,99999,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
