#ID,２Ｄ演出,３Ｄ演出,,,,,機能1,,,,,,,,,,,,,,,,,,,,,,,,
#,２D演出スクリプト,３D演出カットインスクリプト,３D演出プレイリスト,着弾エフェクト,着弾位置,チャージ演出プレイリスト,タイプ,ターゲット,自身除く,火,氷,風,光,闇,土,雷,水,無,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8,パラメータ9,パラメータ10,デッキコンボ倍率使用,ヘイト上限,
60000101,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,FIRE,PHYSICS,0,0,,1,10000,
60000102,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,FIRE,PHYSICS,0,0,,1,10000,
60000103,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,,,FIRE,PHYSICS,0,0,,1,10000,
60000111,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,ICE,PHYSICS,0,0,,1,10000,
60000112,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,ICE,PHYSICS,0,0,,1,10000,
60000113,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,,,ICE,PHYSICS,0,0,,1,10000,
60000121,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,WIND,PHYSICS,0,0,,1,10000,
60000122,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,WIND,PHYSICS,0,0,,1,10000,
60000123,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,,,WIND,PHYSICS,0,0,,1,10000,
60000131,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,LIGHT,PHYSICS,0,0,,1,10000,
60000132,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,LIGHT,PHYSICS,0,0,,1,10000,
60000133,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,,,LIGHT,PHYSICS,0,0,,1,10000,
60000141,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,DARK,PHYSICS,0,0,,1,10000,
60000142,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,DARK,PHYSICS,0,0,,1,10000,
60000143,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,,,DARK,PHYSICS,0,0,,1,10000,
60000151,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,FIRE,MAGIC,0,0,,1,10000,
60000152,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,FIRE,MAGIC,0,0,,1,10000,
60000153,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,,,FIRE,MAGIC,0,0,,1,10000,
60000161,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,ICE,MAGIC,0,0,,1,10000,
60000162,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,ICE,MAGIC,0,0,,1,10000,
60000163,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,,,ICE,MAGIC,0,0,,1,10000,
60000171,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,WIND,MAGIC,0,0,,1,10000,
60000172,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,WIND,MAGIC,0,0,,1,10000,
60000173,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,,,WIND,MAGIC,0,0,,1,10000,
60000181,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,LIGHT,MAGIC,0,0,,1,10000,
60000182,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,LIGHT,MAGIC,0,0,,1,10000,
60000183,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,,,LIGHT,MAGIC,0,0,,1,10000,
60000191,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,DARK,MAGIC,0,0,,1,10000,
60000192,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,DARK,MAGIC,0,0,,1,10000,
60000193,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,,,DARK,MAGIC,0,0,,1,10000,
60000201,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,2,,,,FIRE,ALL,0,0,,1,10000,
60000202,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,FIRE,ALL,0,0,,1,10000,
60000203,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,FIRE,ALL,0,0,,1,10000,
60000211,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,2,,,,ICE,ALL,0,0,,1,10000,
60000212,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,ICE,ALL,0,0,,1,10000,
60000213,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,,,ICE,ALL,0,0,,1,10000,
