#ID,基カードID,同カードID,冠名,メイン名,サブ名,スタックか？,属性,レアリティ,コスト,パラメータ,,,,,,,,,,,,レベル最大,忠誠度最大,名声最大,リーダースキル(カードのレベルアップによる変化表),,,,,,,,,,,,,,,,,,,,通常スキルID,アーサーボーナススキルID,ジョブボーナススキルID,スキルLv上限,スキルｶｯﾄｲﾝID,PictID,,,,拡大画像,経験値ID,売却値段,合成素材フラグ,売却素材フラグ,進化合成,,,,,,,,フレーバーテキスト,イラストレーター,声優,プロフィール（データ）,,,,,,,,,,,,,,,見た目（通常）,,,,,,,,,,,,,見た目（親密度MAX）,,,,,,,,,,,,,騎士セリフ,,,,,,,,,,,,,,,ボイスID,,,,,,,,,,ダウンロード中表示,
#,,,,,,,,,,HP,成長限界HP,忠誠度MAXボーナス,ATK,成長限界ATK,忠誠度MAXボーナス,INT,成長限界INT,忠誠度MAXボーナス,MND,成長限界MND,忠誠度MAXボーナス,,,,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,カードレベル,スキルID,,,,,,通常,種別,MAX,種別,サイズ,LVUP,,,,基礎費用,進化後ID,素材ID1,素材ID2,素材ID3,素材ID4,素材ID5,素材ID6,,,,性別,3S/B,3S/W,3S/H,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,ダウンロード中,ガチャと新規入手,進化合成,騎士LvUP,スキルLvUP,騎士LvMAX,探索出発,探索アーサー支援,探索宝箱,探索強敵,忠誠度UP,忠誠度MAX,スキル発動（攻妨特）,スキル発動（回支防）,コンティニュー,挨拶,騎士LvUP,探索出発,未：探索アーサー支援[代：挨拶],探索宝箱,未：探索強敵[代：探索出発],未：忠誠度UP[代：騎士LvUP],スキル発動（物魔妨特）,スキル発動（回支防）,コンティニュー,,
#レアリティ参照用ダミー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,NORMAL,NORMAL,,,NEUTRAL,NORMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,10,,,,,,,,,,,,,,,,,,,,,10200011,,,1,0,0,,0,,S,101,0,,,,,,,,,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,HIGHNORMAL,HIGHNORMAL,,,NEUTRAL,HIGHNORMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,30,,,,,,,,,,,,,,,,,,,,,10200021,,,1,0,0,,0,,S,101,0,,,,,,,,,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,RARE,RARE,,,NEUTRAL,RARE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,50,,,,,,,,,,,,,,,,,,,,,10200031,,,1,0,0,,0,,S,101,0,,,,,,,,,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,SUPERRARE,SUPERRARE,,,NEUTRAL,SUPERRARE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,70,,,,,,,,,,,,,,,,,,,,,10200041,,,1,0,0,,0,,S,101,0,,,,,,,,,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,ULTRARARE,ULTRARARE,,,NEUTRAL,ULTRARARE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,90,,,,,,,,,,,,,,,,,,,,,10200051,,,1,0,0,,0,,S,101,0,,,,,,,,,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,MILLIONRARE,MILLIONRARE,,,NEUTRAL,MILLIONRARE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,,,,,,,,,,,,,,,,,,,,,10200061,,,1,0,0,,0,,S,101,0,,,,,,,,,,,,,,UNKNOWN,1,1,1,1,1,LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#お助け騎士（ダミー）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40000001,40000001,40000001,妖精,ファルサリア,,,DARK,MILLIONRARE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,,,,,,,,,,,,,,,,,,,,,50608000,50608000,,1,2,10115038,0,10115038,1,M,106,0,,,,,,,,,,,-,-,-,FEMALE,0,0,0,0,0,RIGHT,,,,,,,,,女性,-,-,-,-,,,,,,,,,女性,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ロンチカード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#160804_ロンチ無課金騎士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000109,10000109,10000109,騎士,特異型アキレウス,,,DARK,RARE,0,270,400,0,45,67,0,0,0,0,0,0,0,30,100,50,,,,,,,,,,,,,,,,,,,,,11100281,11100282,,1,1,10000109,0,10000109,1,L,103,1000,,,15000,10000110,20000014,20000014,20000014,20000009,,,軍勢ではなく、単体での戦闘力を極端<br>に増幅させる事で戦線を引っ掻き回す<br>騎士。一説では踵の一点を除きほぼ無<br>敵とまで言われているが……？<br>実は沈没船の中から発見された英傑の<br>遺骨を基にした複製。<br>オリジナルはほぼ不死身に近い絶大な<br>戦闘力を持っていた。……また、鋼の<br>肉体を持ちながらも、『女装して敵地<br>に忍び込むのを得意としていた』とい<br>う情報もあるのだが……？,午前4時,福山 潤,MALE,90,78,88,201,84,RIGHT,,,,,,,,,男性,C:90、W:78、H:88,201cm,84kg,右,,,,,,,,,男性,C:90、W:78、H:88,201cm,84kg,右,,,,,,,,,アーサーよ、これがお前の命を預かる鋼の盾だ。<br>しかし、守ってもらうばかりではいかん。<br>王とは、鋼の肉体を持って然るべきなのだ！,どうだこの見事な肉体美。<br>お前もこんな風になりたいだろう！,どうだこの見事な肉体美。<br>お前もこんな風になりたいだろう！,鍛錬は一日にしてならず。<br>筋肉も一日にしてならずだ。,頭の中まで筋肉でよいのだ。頭脳が<br>筋肉なら力強い思考ができるからな。,これで人々の視線は私に釘付けだ。<br>さあ、どこからでもかかってこい！,そうだ、体に重りを付ければ探索も<br>鍛錬になると思うのだが。どうだ？,ハッハッハ！　この肉体がある限り<br>アーサーには切っ先一つ通さんぞ！,そのような汚い箱を拾ったところで、<br>たんなる重りにしかならないぞ？,強敵だが、正面から行かせてくれ。<br>私の力を試したい。,そのだな…。あまり見ないでくれ…。<br>どうにもむずがゆいものがあるんだ。,筋力のないお前が、こうも頼もしく見えるとは。<br>アーサーに問う。真に強き者には何が必要だ？<br>その力強き意志の支えとなる何かを教えてくれ。,そうか、痛いのが好きか！,私に掴まれ！　振り落とされるなよ！,行くぞ！　一からやり直しだ！,602980010,602980020,602980030,602980010,602980050,602980030,602980020,602980080,602980080,602980100,,
