#ID,メイン名,サブ名,説明,スキル効果値表示パラメータ番号,スキル効果値表示機能番号,スキル効果値表示タイプ,ボイス番号,分類,種類,属性,ジョブタイプ,物理or魔法,コスト,優先度,,スキルランク,ヘイト倍率,ターゲット,属性デッキコンボ,機能,,,,,
#,（P9/E12文字）,（14文字）,,,,,,,,,,,,PvE,PvP,,,,一枚ごとの倍率上昇,発動条件,パラメータ1,パラメータ2,優先度,機能ID,
1,何もしない,何もしない,何もしない,1,0,NULL,,,ATTACK,NULL,NULL,PHYSICS,0,99,99,RANK1,0,SELF,,,,,,1,
#プレイヤーカードスキル,,,,,,,,,,,,,,,,,,,,,,,,,
#傭兵アーサー,,,,,,,,,,,,,,,,,,,,,,,,,
#攻撃,,,,,,,,,,,,,,,,,,,,,,,,,
#特異型アキレウス_R/SR,,,,,,,,,,,,,,,,,,,,,,,,,
11100281,過小剣＝敵陣乱入,ストライクザトロイ,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,4,43,43,RANK1,100,ENEMY_ONE,20,,,,,11100281,
11100282,過小剣＝敵陣乱入,ストライクザトロイ,敵単体/物理/{1}の闇ダメージ<br>低確率で敵の行動を止める,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,4,44,44,RANK2,100,ENEMY_ONE,20,,,,,11100282,
11100291,過小剣＝敵陣乱入,ストライクザトロイ,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,11100291,
11100292,過小剣＝敵陣乱入,ストライクザトロイ,敵単体/物理/{1}の闇ダメージ<br>低確率で敵の行動を止める,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,4,44,44,RANK3,100,ENEMY_ONE,20,,,,,11100292,
#第二型アグラヴェイン_HN/R/SR/UR,,,,,,,,,,,,,,,,,,,,,,,,,
11100181,騎士解析#25,メンタルクラッシュ,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK1,100,ENEMY_ONE,20,,,,,11100181,
11100182,騎士解析#25,メンタルクラッシュ,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK1,100,ENEMY_ONE,20,,,,,11100182,
11100191,騎士解析#25,メンタルクラッシュ,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK1,100,ENEMY_ONE,20,,,,,11100191,
11100192,騎士解析#25,メンタルクラッシュ,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,11100192,
11100201,騎士解析#25,メンタルクラッシュ,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,11100201,
